arm,domain,trace,regime,concurrency,output_tok_s,speedup_vs_baseline,saturation_concurrency,saturation_output_tok_s,saturation_speedup_vs_baseline
EAGLE3,code,swebench,8K,1,93.73202287468783,0.9316568228476267,70,576.4114546619642,
EAGLE3,code,swebench,8K,5,310.0643785465283,0.8519556792300841,70,576.4114546619642,
EAGLE3,code,swebench,8K,25,558.8655224981028,0.7137810019934577,70,576.4114546619642,
EAGLE3,code,swebench,8K,50,572.1786340299577,0.6284203776754386,70,576.4114546619642,
EAGLE3,code,swebench,8K,70,576.4114546619642,,70,576.4114546619642,
EAGLE3,summarization-short,cnn_short,8K,1,79.07513718949609,0.954432664632779,70,251.23305985953482,
EAGLE3,summarization-short,cnn_short,8K,5,186.6860911537928,0.921063995310348,70,251.23305985953482,
EAGLE3,summarization-short,cnn_short,8K,25,244.40997712699874,0.8395832258768587,70,251.23305985953482,
EAGLE3,summarization-short,cnn_short,8K,50,249.31406204093813,0.8112832840151792,70,251.23305985953482,
EAGLE3,summarization-short,cnn_short,8K,70,251.23305985953482,,70,251.23305985953482,
EAGLE3,summarization-long,cnn_long,8K,1,75.37198202313324,0.8139773770974018,70,303.29883355075236,
EAGLE3,summarization-long,cnn_long,8K,5,219.66833636747012,0.8129634243977657,70,303.29883355075236,
EAGLE3,summarization-long,cnn_long,8K,25,304.94832407965026,0.6771293529417446,70,303.29883355075236,
EAGLE3,summarization-long,cnn_long,8K,50,307.54444220875774,0.6242416816632423,70,303.29883355075236,
EAGLE3,summarization-long,cnn_long,8K,70,303.29883355075236,,70,303.29883355075236,
EAGLE3,structured-JSON,edgar_json,8K,1,99.08424867582708,0.9708499910628879,70,630.3194907314064,
EAGLE3,structured-JSON,edgar_json,8K,5,345.84950396099146,0.9011355635582149,70,630.3194907314064,
EAGLE3,structured-JSON,edgar_json,8K,25,593.7739928457898,0.6734528894580787,70,630.3194907314064,
EAGLE3,structured-JSON,edgar_json,8K,50,628.6862708833823,0.6014545754622067,70,630.3194907314064,
EAGLE3,structured-JSON,edgar_json,8K,70,630.3194907314064,,70,630.3194907314064,
separate-draft,conversational,sharegpt,8K,1,128.93076305559956,1.2812535337693463,43,707.3768151992351,
separate-draft,conversational,sharegpt,8K,5,366.6296969339254,1.0065194788446137,43,707.3768151992351,
separate-draft,conversational,sharegpt,8K,25,682.6013181571212,0.872617096607749,43,707.3768151992351,
separate-draft,conversational,sharegpt,8K,43,707.3768151992351,,43,707.3768151992351,
separate-draft,code,swebench,8K,1,137.44113945412957,1.366107029222892,43,711.4528428345716,
separate-draft,code,swebench,8K,5,423.63835315356926,1.1640198806477975,43,711.4528428345716,
separate-draft,code,swebench,8K,25,680.0665261892389,0.8685784807689811,43,711.4528428345716,
separate-draft,code,swebench,8K,43,711.4528428345716,,43,711.4528428345716,
separate-draft,summarization-short,cnn_short,8K,1,98.24573261079344,1.1858207231409628,43,260.9200099859039,
separate-draft,summarization-short,cnn_short,8K,5,213.40476981177918,1.0528874898301661,43,260.9200099859039,
separate-draft,summarization-short,cnn_short,8K,25,258.4856557075789,0.8879351948431202,43,260.9200099859039,
separate-draft,summarization-short,cnn_short,8K,43,260.9200099859039,,43,260.9200099859039,
separate-draft,summarization-long,cnn_long,8K,1,110.4449757178062,1.1927470823412076,43,372.2758307297973,
separate-draft,summarization-long,cnn_long,8K,5,266.59128173351706,0.9866190316574189,43,372.2758307297973,
separate-draft,summarization-long,cnn_long,8K,25,364.24720805137264,0.8088008912429431,43,372.2758307297973,
separate-draft,summarization-long,cnn_long,8K,43,372.2758307297973,,43,372.2758307297973,
separate-draft,structured-JSON,edgar_json,8K,1,140.5803684651331,1.377438405114421,43,810.9145782671017,
separate-draft,structured-JSON,edgar_json,8K,5,424.1753073065271,1.1052190337686858,43,810.9145782671017,
separate-draft,structured-JSON,edgar_json,8K,25,757.0084612683719,0.8585918914064036,43,810.9145782671017,
separate-draft,structured-JSON,edgar_json,8K,43,810.9145782671017,,43,810.9145782671017,
baseline,conversational,sharegpt,32K,1,100.7073496451336,1.0,18,660.095862465186,1.0
baseline,conversational,sharegpt,32K,5,364.22846652098775,1.0,18,660.095862465186,1.0
baseline,conversational,sharegpt,32K,18,660.095862465186,1.0,18,660.095862465186,1.0
baseline,code,swebench,32K,1,100.74678585237226,1.0,18,660.1179832699345,1.0
baseline,code,swebench,32K,5,364.25405150066183,1.0,18,660.1179832699345,1.0
baseline,code,swebench,32K,18,660.1179832699345,1.0,18,660.1179832699345,1.0
baseline,summarization-short,cnn_short,32K,1,83.07878949153405,1.0,18,273.1593831710973,1.0
baseline,summarization-short,cnn_short,32K,5,203.3963962519204,1.0,18,273.1593831710973,1.0
baseline,summarization-short,cnn_short,32K,18,273.1593831710973,1.0,18,273.1593831710973,1.0
baseline,summarization-long,cnn_long,32K,1,90.98438809920013,1.0,18,391.5867961081609,1.0
baseline,summarization-long,cnn_long,32K,5,264.03960173377874,1.0,18,391.5867961081609,1.0
baseline,summarization-long,cnn_long,32K,18,391.5867961081609,1.0,18,391.5867961081609,1.0
baseline,structured-JSON,edgar_json,32K,1,102.23084518091667,1.0,18,728.6310952056789,1.0
baseline,structured-JSON,edgar_json,32K,5,384.4027387863438,1.0,18,728.6310952056789,1.0
baseline,structured-JSON,edgar_json,32K,18,728.6310952056789,1.0,18,728.6310952056789,1.0
n-gram,conversational,sharegpt,32K,1,121.73784831888709,1.208827843725999,18,698.2672312114436,1.0578270080404735
n-gram,conversational,sharegpt,32K,5,364.5475844898009,1.0008761477977306,18,698.2672312114436,1.0578270080404735
n-gram,conversational,sharegpt,32K,18,698.2672312114436,1.0578270080404735,18,698.2672312114436,1.0578270080404735
n-gram,code,swebench,32K,1,135.68902417820422,1.3468322887941462,18,656.9558901246373,0.9952098060870369
n-gram,code,swebench,32K,5,411.7116249337678,1.1302870159922427,18,656.9558901246373,0.9952098060870369
n-gram,code,swebench,32K,18,656.9558901246373,0.9952098060870369,18,656.9558901246373,0.9952098060870369
n-gram,summarization-short,cnn_short,32K,1,93.66960008734333,1.127479115435216,18,277.9814954995534,1.0176531088644158
n-gram,summarization-short,cnn_short,32K,5,211.7971796569124,1.0413025184309905,18,277.9814954995534,1.0176531088644158
n-gram,summarization-short,cnn_short,32K,18,277.9814954995534,1.0176531088644158,18,277.9814954995534,1.0176531088644158
n-gram,summarization-long,cnn_long,32K,1,126.06594392236354,1.3855777519206267,18,392.18210022159303,1.0015202354097448
n-gram,summarization-long,cnn_long,32K,5,287.2539710385489,1.08792002848185,18,392.18210022159303,1.0015202354097448
n-gram,summarization-long,cnn_long,32K,18,392.18210022159303,1.0015202354097448,18,392.18210022159303,1.0015202354097448
n-gram,structured-JSON,edgar_json,32K,1,146.71880397420267,1.4351715836307153,18,753.0216266987908,1.033474458685059
n-gram,structured-JSON,edgar_json,32K,5,476.2305211961086,1.2388843084200916,18,753.0216266987908,1.033474458685059
n-gram,structured-JSON,edgar_json,32K,18,753.0216266987908,1.033474458685059,18,753.0216266987908,1.033474458685059
EAGLE3,conversational,sharegpt,32K,1,93.96451680843283,0.9330452756381659,17,526.4427088654297,
EAGLE3,conversational,sharegpt,32K,5,290.67627529227707,0.7980602891057325,17,526.4427088654297,
EAGLE3,conversational,sharegpt,32K,17,526.4427088654297,,17,526.4427088654297,
EAGLE3,code,swebench,32K,1,92.73163020305445,0.9204425671597832,17,522.7022560701187,
EAGLE3,code,swebench,32K,5,309.5472484909872,0.8498114083171009,17,522.7022560701187,
EAGLE3,code,swebench,32K,17,522.7022560701187,,17,522.7022560701187,
EAGLE3,summarization-short,cnn_short,32K,1,75.03194899076836,0.9031420588815189,17,240.2062842214077,
EAGLE3,summarization-short,cnn_short,32K,5,191.03488015906092,0.9392245078051977,17,240.2062842214077,
EAGLE3,summarization-short,cnn_short,32K,17,240.2062842214077,,17,240.2062842214077,
EAGLE3,summarization-long,cnn_long,32K,1,73.05891923329304,0.8029830255454048,17,277.33134998663246,
EAGLE3,summarization-long,cnn_long,32K,5,211.55892241895842,0.8012393634507349,17,277.33134998663246,
EAGLE3,summarization-long,cnn_long,32K,17,277.33134998663246,,17,277.33134998663246,
EAGLE3,structured-JSON,edgar_json,32K,1,91.1123979812539,0.8912417560474376,17,533.680385924558,
EAGLE3,structured-JSON,edgar_json,32K,5,325.54825226264563,0.8468936857486589,17,533.680385924558,
