arm,domain,regime,concurrency,output_tok_s,cost_per_1M_output_tokens_USD,h200_usd_per_hr
n-gram,conversational,32K,18,698.2672312114436,1.7782112795304228,4.47
n-gram,code,32K,1,135.68902417820422,9.150826120143297,4.47
n-gram,code,32K,5,411.7116249337678,3.0158649682685397,4.47
n-gram,code,32K,18,656.9558901246373,1.8900304957020757,4.47
n-gram,summarization-short,32K,1,93.66960008734333,13.255812616994838,4.47
n-gram,summarization-short,32K,5,211.7971796569124,5.862526916921306,4.47
n-gram,summarization-short,32K,18,277.9814954995534,4.466724176856807,4.47
n-gram,summarization-long,32K,1,126.06594392236354,9.849342558616264,4.47
n-gram,summarization-long,32K,5,287.2539710385489,4.3225396055535725,4.47
n-gram,summarization-long,32K,18,392.18210022159303,3.1660462473047413,4.47
n-gram,structured-JSON,32K,1,146.71880397420267,8.462900685075015,4.47
n-gram,structured-JSON,32K,5,476.2305211961086,2.6072807419988027,4.47
n-gram,structured-JSON,32K,18,753.0216266987908,1.6489123587460182,4.47
EAGLE3,conversational,32K,1,93.96451680843283,13.214207967440252,4.47
EAGLE3,conversational,32K,5,290.67627529227707,4.27164778211831,4.47
EAGLE3,conversational,32K,17,526.4427088654297,2.3585978982264977,4.47
EAGLE3,code,32K,1,92.73163020305445,13.389893652767551,4.47
EAGLE3,code,32K,5,309.5472484909872,4.01123470720438,4.47
EAGLE3,code,32K,17,522.7022560701187,2.375476004259108,4.47
EAGLE3,summarization-short,32K,1,75.03194899076836,16.548506114634403,4.47
EAGLE3,summarization-short,32K,5,191.03488015906092,6.499685636637773,4.47
EAGLE3,summarization-short,32K,17,240.2062842214077,5.169168120190282,4.47
EAGLE3,summarization-long,32K,1,73.05891923329304,16.995415203197222,4.47
EAGLE3,summarization-long,32K,5,211.55892241895842,5.869129283083345,4.47
EAGLE3,summarization-long,32K,17,277.33134998663246,4.47719548015944,4.47
EAGLE3,structured-JSON,32K,1,91.1123979812539,13.62785629813119,4.47
EAGLE3,structured-JSON,32K,5,325.54825226264563,3.8140787365214157,4.47
EAGLE3,structured-JSON,32K,17,533.680385924558,2.3266110192818497,4.47
separate-draft,conversational,32K,1,128.7796495808482,9.64179255579621,4.47
separate-draft,conversational,32K,5,367.38355448856015,3.3797557116981145,4.47
separate-draft,conversational,32K,10,555.1324718096013,2.236703363107414,4.47
separate-draft,code,32K,1,134.6029157887404,9.224663963561275,4.47
separate-draft,code,32K,5,418.8846936951516,2.964220668254602,4.47
separate-draft,code,32K,10,537.2454313406296,2.311172127733578,4.47
separate-draft,summarization-short,32K,1,92.28991024717726,13.453980650118183,4.47
separate-draft,summarization-short,32K,5,214.66308104783622,5.784258106264531,4.47
separate-draft,summarization-short,32K,10,239.04426568740175,5.194295973158354,4.47
separate-draft,summarization-long,32K,1,105.42072636791643,11.778202536124372,4.47
separate-draft,summarization-long,32K,5,271.0469237933185,4.581002614932737,4.47
separate-draft,summarization-long,32K,10,305.0879170452136,4.069865102139242,4.47
separate-draft,structured-JSON,32K,1,137.974074959007,8.999275168437071,4.47
separate-draft,structured-JSON,32K,5,457.108507567316,2.7163499390433303,4.47
separate-draft,structured-JSON,32K,10,596.0037985872602,2.0833200553584654,4.47
separate-draft-1.7B,conversational,8K,1,133.85971841530275,9.27587986413036,4.47
separate-draft-1.7B,conversational,8K,5,409.5636570379981,3.031681755277101,4.47
separate-draft-1.7B,conversational,8K,25,665.773503943918,1.8649986208692073,4.47
separate-draft-1.7B,conversational,8K,41,695.8405893784482,1.7844125301396565,4.47
separate-draft-1.7B,code,8K,1,131.84206701022336,9.41783373716664,4.47
separate-draft-1.7B,code,8K,5,400.72781661236473,3.098528764894217,4.47
separate-draft-1.7B,code,8K,25,665.6956479069288,1.8652167406692504,4.47
separate-draft-1.7B,code,8K,41,699.9737043092215,1.7738761599509258,4.47
separate-draft-1.7B,summarization-short,8K,1,96.17806448119055,12.910081663262192,4.47
separate-draft-1.7B,summarization-short,8K,5,197.46539602034687,6.288021555628537,4.47
separate-draft-1.7B,summarization-short,8K,25,247.14713090070066,5.0239979001234945,4.47
separate-draft-1.7B,summarization-short,8K,41,249.46924753567404,4.977233382199177,4.47
separate-draft-1.7B,summarization-long,8K,1,110.66223840752873,11.220328492670285,4.47
separate-draft-1.7B,summarization-long,8K,5,277.6696040813561,4.471741409271657,4.47
separate-draft-1.7B,summarization-long,8K,25,361.32928721858286,3.436385343199517,4.47
separate-draft-1.7B,summarization-long,8K,41,365.0515935713112,3.401345696150516,4.47
separate-draft-1.7B,structured-JSON,8K,1,139.41022196733454,8.906568321493697,4.47
separate-draft-1.7B,structured-JSON,8K,5,447.68328041773196,2.7735381707980493,4.47
